Unnamed: 0,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,SMA_10,EMA_10,RSI,MACD
51,AAPL,2015-08-07 00:00:00+00:00,115.52,116.25,114.5,114.58,38670405,106.9351987444,107.6109492212,105.990999448,106.0650542948,38670405,0.0,1.0,119.194,118.68949428504429,29.535509775104757,-2.9882652581843843
52,AAPL,2015-08-10 00:00:00+00:00,119.72,119.99,116.53,116.53,54951597,110.8230782001,111.073013308,107.8701411849,107.8701411849,54951597,0.0,1.0,118.88900000000001,118.87686346594774,43.41846076370954,-2.740934528733831
53,AAPL,2015-08-11 00:00:00+00:00,113.49,118.18,113.33,117.81,97082814,105.0560570074,109.3975223997,104.9079473139,109.0550187333,97082814,0.0,1.0,117.9,117.89741447528255,33.0246803306965,-3.012901227554792
54,AAPL,2015-08-12 00:00:00+00:00,115.24,115.42,109.63,112.53,101685610,106.6760067807,106.8426301859,101.4829106505,104.1673988461,101685610,0.0,1.0,117.125,117.41424042947928,37.54725098256335,-3.0520443536674833
55,AAPL,2015-08-13 00:00:00+00:00,115.15,116.4,114.54,116.04,48535789,106.592695078,107.7498020589,106.0280268714,107.4165552484,48535789,0.0,1.0,116.40299999999999,117.00255492943936,37.40735131980309,-3.055110400010264
56,AAPL,2015-08-14 00:00:00+00:00,115.96,116.31,114.01,114.32,42929516,107.3425004016,107.6664903563,105.5374135115,105.8243760427,42929516,0.0,1.0,115.869,116.81299744513444,39.58898508574145,-2.9580811155208693
57,AAPL,2015-08-17 00:00:00+00:00,117.16,117.65,115.5,116.04,40884745,108.4533231033,108.9069090398,106.9166850327,107.4165552484,40884745,0.0,1.0,115.74099999999999,116.87608937498814,42.77137048600539,-2.7526241990061493
58,AAPL,2015-08-18 00:00:00+00:00,116.5,117.44,116.01,116.43,34560708,107.8423706174,108.712515067,107.3887846809,107.7775726264,34560708,0.0,1.0,115.92699999999999,116.80770899537207,41.477194354293275,-2.612934316278043
59,AAPL,2015-08-19 00:00:00+00:00,115.01,116.52,114.68,116.1,48286510,106.4630990962,107.8608843291,106.1576228532,107.4720963835,48286510,0.0,1.0,115.888,116.48085088532206,38.63503425827584,-2.592574045579056
60,AAPL,2015-08-20 00:00:00+00:00,112.65,114.35,111.63,114.08,68501622,104.2784811163,105.8521466103,103.3342818199,105.6022115024,68501622,0.0,1.0,115.63999999999999,115.78432917917173,34.591851339945805,-2.7353393714350744
